url,product,category,subcategory,brand,volume,weight,details
https://super.facua.org/mercadona/aceite-de-girasol/aceite-de-girasol-refinado-02-hacendado-1-l/,"Aceite De Girasol Refinado 0,2º Hacendado 1 L.",aceite_girasol,0.2º,hacendado,1.0,,
https://super.facua.org/mercadona/aceite-de-girasol/aceite-de-girasol-refinado-02-hacendado-5-l/,"Aceite De Girasol Refinado 0,2º Hacendado 5 L.",aceite_girasol,0.2º,hacendado,5.0,,refinado
https://super.facua.org/mercadona/aceite-de-oliva/aceite-de-oliva-04-hacendado/,"Aceite De Oliva 0,4º Hacendado 1 L.",aceite_oliva,0.4º,hacendado,1.0,,
https://super.facua.org/mercadona/aceite-de-oliva/aceite-de-oliva-1-hacendado-botella-1-l/,Aceite De Oliva 1º Hacendado 1 L.,aceite_oliva,1º,hacendado,1.0,,
https://super.facua.org/mercadona/aceite-de-oliva/aceite-de-oliva-intenso-hacendado-garrafa-3-l/,Aceite De Oliva Intenso Hacendado 3 L.,aceite_oliva,intenso,hacendado,3.0,,
https://super.facua.org/mercadona/aceite-de-oliva/aceite-de-oliva-suave-hacendado-garrafa-3-l/,Aceite De Oliva Suave Hacendado 3 L.,aceite_oliva,suave,hacendado,3.0,,
https://super.facua.org/mercadona/aceite-de-oliva/aceite-de-oliva-virgen-extra-hacendado-spray-200-ml/,Aceite De Oliva Virgen Extra Hacendado 0.2 L.,aceite_oliva,virgen extra,hacendado,0.2,,
https://super.facua.org/mercadona/aceite-de-oliva/aceite-de-oliva-virgen-extra-hacendado-botella-1-l/,Aceite De Oliva Virgen Extra Hacendado 1 L.,aceite_oliva,virgen extra,hacendado,1.0,,
https://super.facua.org/mercadona/aceite-de-oliva/aceite-de-oliva-virgen-extra-hacendado-garrafa-3-l/,Aceite De Oliva Virgen Extra Hacendado 3 L.,aceite_oliva,virgen extra,hacendado,3.0,,
https://super.facua.org/mercadona/aceite-de-oliva/aceite-de-oliva-virgen-extra-hacendado-gran-seleccion-botella-750-ml/,Aceite De Oliva Virgen Extra Hacendado Gran Selección 0.75 L.,aceite_oliva,virgen extra,hacendado,0.75,,gran selección
